,Unnamed: 0,id,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped,transitDuration,fulfillDuration,amount,split,maintain4,maintain12
20,20,21,Karen,2,4,7,3,7,2,0,2018-07-22 15:04:58,2018-07-22 15:22:33,2018-07-22 15:25:31,1,178.0,1233.0,18,2,10.0,4.0
21,21,22,Jacqueline,5,8,4,8,4,3,0,2018-07-22 15:05:02,2018-07-22 15:23:48,2018-07-22 15:26:37,1,169.0,1295.0,28,2,10.2,4.0
23,23,24,Frida,0,4,3,3,4,2,0,2018-07-22 15:05:33,2018-07-22 15:27:14,2018-07-22 15:29:34,1,140.0,1441.0,13,2,8.5,7.5
24,24,25,Marisa,5,9,2,1,7,2,0,2018-07-22 15:05:37,2018-07-22 15:28:22,2018-07-22 15:31:26,1,184.0,1549.0,24,2,8.5,0.0
25,25,26,Ed,0,0,0,2,5,0,0,2018-07-22 15:05:49,2018-07-22 15:29:49,2018-07-22 15:31:38,1,109.0,1549.0,7,1,8.5,5.0
26,26,27,Ramon,3,6,4,6,4,6,0,2018-07-22 15:06:04,2018-07-22 15:29:49,2018-07-22 15:32:52,1,183.0,1608.0,25,2,8.5,5.0
27,27,28,Zelda,1,3,0,1,0,5,0,2018-07-22 15:06:21,2018-07-22 15:31:09,2018-07-22 15:33:50,1,161.0,1649.0,10,2,8.5,0.0
29,29,30,Marisa,9,1,4,2,4,8,0,2018-07-22 15:06:53,2018-07-22 15:32:12,2018-07-22 15:35:20,1,188.0,1707.0,24,2,10.0,5.0
38,38,39,Ana,9,3,2,5,7,9,0,2018-07-22 15:08:05,2018-07-22 15:42:09,2018-07-22 15:45:54,1,225.0,2269.0,33,3,8.5,5.0
40,40,41,Lori,7,7,5,9,9,4,0,2018-07-22 15:08:44,2018-07-22 15:45:58,2018-07-22 15:48:38,1,160.0,2394.0,36,2,8.5,5.0
45,45,46,Ted,0,3,0,6,4,0,0,2018-07-22 15:09:29,2018-07-22 15:54:24,2018-07-22 15:56:09,1,105.0,2800.0,13,1,9.333333333333334,5.0
52,52,53,Allen,0,0,3,2,3,0,0,2018-07-22 15:10:55,2018-07-22 16:00:32,2018-07-22 16:02:34,1,122.0,3099.0,5,1,8.4,5.0
63,63,64,Allen,0,6,0,10,3,0,0,2018-07-22 15:13:53,2018-07-22 16:12:24,2018-07-22 16:15:07,1,163.0,3674.0,19,2,8.4,5.25
70,70,71,Mark,0,0,0,10,5,10,0,2018-07-22 15:15:14,2018-07-22 16:21:06,2018-07-22 16:24:57,1,231.0,4183.0,25,2,9.090909090909092,0.0
98,98,99,Ramon,7,5,1,6,1,1,0,2018-07-22 15:19:35,2018-07-22 17:02:16,2018-07-22 17:05:01,1,165.0,6326.0,20,0,7.8235294117647065,0.0
103,103,104,Krystina,6,4,4,2,2,7,0,2018-07-22 15:20:24,2018-07-22 17:07:38,2018-07-22 17:11:34,1,236.0,6670.0,21,0,0.0,7.8235294117647065
105,105,106,Mark,0,6,0,9,4,0,0,2018-07-22 15:20:30,2018-07-22 17:09:22,2018-07-22 17:13:17,1,235.0,6767.0,19,0,5.8,7.8235294117647065
108,108,109,Emily,1,4,1,0,1,1,0,2018-07-22 15:21:04,2018-07-22 17:13:54,2018-07-22 17:16:16,1,142.0,6912.0,7,0,5.8,7.8235294117647065
110,110,111,Marylyn,2,3,6,1,8,0,0,2018-07-22 15:21:25,2018-07-22 17:16:34,2018-07-22 17:19:30,1,176.0,7085.0,14,0,8.777777777777779,8.0
118,118,119,Allen,0,0,0,4,4,4,0,2018-07-22 15:23:31,2018-07-22 17:27:38,2018-07-22 17:30:15,1,157.0,7604.0,12,0,9.15,8.142857142857142
122,122,123,Alison,5,0,2,3,0,6,0,2018-07-22 15:24:15,2018-07-22 17:32:00,2018-07-22 17:34:51,1,171.0,7836.0,14,0,8.714285714285714,8.142857142857142
123,123,124,Lauren,7,4,9,6,5,4,0,2018-07-22 15:24:31,2018-07-22 17:33:05,2018-07-22 17:35:58,1,173.0,7887.0,26,0,9.238095238095235,8.142857142857142
129,129,130,Stephen,0,0,0,2,4,0,0,2018-07-22 15:25:39,2018-07-22 17:40:27,2018-07-22 17:44:24,1,237.0,8325.0,6,0,0.0,7.875
130,130,131,Allen,0,1,0,5,5,0,0,2018-07-22 15:25:42,2018-07-22 17:42:47,2018-07-22 17:44:34,1,107.0,8332.0,11,0,8.73913043478261,7.875
134,134,135,Karen,4,8,4,6,8,8,0,2018-07-22 15:26:10,2018-07-22 17:46:19,2018-07-22 17:53:34,1,435.0,8844.0,34,0,8.73913043478261,8.75
