,Unnamed: 0,id,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped,transitDuration,fulfillDuration,amount,split,maintain4,maintain12
1,1,2,Erma,7,0,7,9,3,7,0,2018-07-22 15:01:02,2018-07-22 15:01:10,2018-07-22 15:04:37,1,207.0,215.0,26,3,5.5,0.0
58,58,59,Ed,0,0,0,2,4,0,0,2018-07-22 15:12:26,2018-07-22 16:06:31,2018-07-22 16:08:02,1,91.0,3336.0,6,1,8.4,7.0
59,59,60,Marylyn,5,3,3,7,3,2,0,2018-07-22 15:12:48,2018-07-22 16:06:31,2018-07-22 16:08:50,1,139.0,3362.0,20,2,8.4,7.0
79,79,80,Barbara,2,9,5,9,3,3,0,2018-07-22 15:16:15,2018-07-22 16:36:31,2018-07-22 16:39:41,1,190.0,5006.0,26,0,0.0,5.25
81,81,82,Ana,6,6,6,0,0,3,0,2018-07-22 15:16:41,2018-07-22 16:37:31,2018-07-22 16:41:11,1,220.0,5070.0,15,0,7.866666666666666,5.25
84,84,85,Stephen,0,0,0,1,2,3,0,2018-07-22 15:17:15,2018-07-22 16:41:47,2018-07-22 16:44:51,1,184.0,5256.0,6,0,0.0,5.25
111,111,112,Anise,7,5,7,3,4,7,0,2018-07-22 15:21:36,2018-07-22 17:17:58,2018-07-22 17:20:44,1,166.0,7148.0,26,0,8.631578947368421,8.0
113,113,114,Devon,0,8,0,2,6,0,0,2018-07-22 15:22:15,2018-07-22 17:20:46,2018-07-22 17:23:13,1,147.0,7258.0,16,0,8.2,6.666666666666668
114,114,115,Anise,4,4,8,8,3,3,0,2018-07-22 15:22:30,2018-07-22 17:21:42,2018-07-22 17:24:46,1,184.0,7336.0,22,0,8.2,6.666666666666668
116,116,117,Shane,0,5,0,9,10,0,0,2018-07-22 15:23:05,2018-07-22 17:24:00,2018-07-22 17:26:59,1,179.0,7434.0,24,0,9.15,9.5
117,117,118,Marisa,8,3,8,2,5,9,0,2018-07-22 15:23:15,2018-07-22 17:25:08,2018-07-22 17:29:57,1,289.0,7602.0,27,0,9.15,0.0
136,136,137,Wilma,5,0,1,9,4,8,0,2018-07-22 15:26:30,2018-07-22 17:52:59,2018-07-22 17:56:35,1,216.0,9005.0,26,0,8.73913043478261,8.555555555555555
148,148,149,Ira,0,0,8,7,6,0,0,2018-07-22 15:28:58,2018-07-22 18:11:04,2018-07-22 18:14:05,1,181.0,9907.0,13,0,0.0,0.0
149,149,150,Ed,0,0,0,1,9,0,0,2018-07-22 15:29:21,2018-07-22 18:12:27,2018-07-22 18:14:16,1,109.0,9895.0,10,0,0.0,0.0
