,Unnamed: 0,id,customer,red,blue,green,yellow,black,white,pending,orderdate,tokendate,shipdate,shipped,transitDuration,fulfillDuration,amount,split,maintain4,maintain12
37,37,38,Ed,0,0,0,1,3,7,0,2018-07-22 15:08:01,2018-07-22 15:42:09,2018-07-22 15:44:02,1,113.0,2161.0,11,1,9.714285714285714,5.0
39,39,40,Leslie,0,6,3,6,4,0,0,2018-07-22 15:08:22,2018-07-22 15:44:23,2018-07-22 15:47:16,1,173.0,2334.0,16,2,8.5,5.0
42,42,43,Ted,0,8,0,7,5,0,0,2018-07-22 15:09:18,2018-07-22 15:48:56,2018-07-22 15:52:36,1,220.0,2598.0,20,2,9.5,5.0
47,47,48,Barbara,2,1,0,3,3,3,0,2018-07-22 15:09:49,2018-07-22 15:55:49,2018-07-22 15:58:19,1,150.0,2910.0,12,2,8.4,5.0
55,55,56,Frida,6,1,6,3,1,8,0,2018-07-22 15:11:38,2018-07-22 16:03:06,2018-07-22 16:05:14,1,128.0,3216.0,19,2,8.4,5.0
65,65,66,Stephen,9,6,8,2,1,2,0,2018-07-22 15:14:28,2018-07-22 16:14:38,2018-07-22 16:17:43,1,185.0,3795.0,20,2,8.4,5.25
67,67,68,Teresa,7,2,0,8,6,3,0,2018-07-22 15:14:33,2018-07-22 16:17:11,2018-07-22 16:20:03,1,172.0,3930.0,26,2,9.4,5.25
72,72,73,Blaine,3,3,7,5,4,3,0,2018-07-22 15:15:27,2018-07-22 16:24:57,2018-07-22 16:28:08,1,191.0,4361.0,18,2,8.833333333333334,5.25
77,77,78,Denise,8,6,6,1,5,8,0,2018-07-22 15:16:06,2018-07-22 16:31:37,2018-07-22 16:35:58,1,261.0,4792.0,28,0,8.428571428571429,5.25
86,86,87,Jen,7,2,8,2,1,5,0,2018-07-22 15:17:39,2018-07-22 16:42:50,2018-07-22 16:47:04,1,254.0,5365.0,17,0,7.866666666666666,5.25
94,94,95,Lori,6,1,2,4,3,8,0,2018-07-22 15:19:05,2018-07-22 16:56:15,2018-07-22 16:59:49,1,214.0,6044.0,22,0,8.3125,5.8
96,96,97,Karen,6,0,3,1,4,2,0,2018-07-22 15:19:24,2018-07-22 16:58:56,2018-07-22 17:01:53,1,177.0,6149.0,13,0,7.8235294117647065,5.8
100,100,101,Anise,4,8,2,2,1,1,0,2018-07-22 15:19:56,2018-07-22 17:04:55,2018-07-22 17:07:09,1,134.0,6433.0,16,0,5.8,7.8235294117647065
102,102,103,Emily,2,1,2,2,6,1,0,2018-07-22 15:20:21,2018-07-22 17:06:12,2018-07-22 17:09:06,1,174.0,6525.0,12,0,5.8,7.8235294117647065
109,109,110,Eleonore,8,1,6,8,3,4,0,2018-07-22 15:21:22,2018-07-22 17:15:25,2018-07-22 17:18:17,1,172.0,7015.0,24,0,8.777777777777779,0.0
120,120,121,Rick,3,4,4,3,10,7,0,2018-07-22 15:23:52,2018-07-22 17:29:44,2018-07-22 17:32:25,1,161.0,7713.0,27,0,8.714285714285714,8.142857142857142
127,127,128,Tony,0,8,0,1,9,0,0,2018-07-22 15:25:16,2018-07-22 17:39:07,2018-07-22 17:40:56,1,109.0,8140.0,18,0,8.73913043478261,9.0
140,140,141,Ana,3,6,6,8,6,1,0,2018-07-22 15:27:13,2018-07-22 18:00:03,2018-07-22 18:03:28,1,205.0,9375.0,24,0,8.73913043478261,8.272727272727273
142,142,143,Jacqueline,2,0,2,3,4,2,0,2018-07-22 15:27:40,2018-07-22 18:04:29,2018-07-22 18:06:57,1,148.0,9557.0,11,0,8.73913043478261,0.0
